TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
127.122268915,-1,-2,-8,-27,4,-3,7,-4,-1,167,-28,-42,-20,-21,172,23,21,0,186,153,170,169,1,10555
127.133172035,-1,-2,-8,-22,11,2,2,-7,-1,167,-28,-42,-20,-21,172,23,21,0,183,156,174,165,1,10556
127.152318954,-1,-2,-8,-22,11,2,2,-7,-1,115,6,237,-21,-11,146,23,21,0,183,156,174,165,1,10557
127.163239002,-1,-2,-8,-16,-3,0,-3,-7,-1,-36,-148,28,-23,2,122,23,21,0,183,156,174,165,1,10558
127.174173832,-1,-2,-8,-18,-7,0,-9,-6,0,-36,-148,28,-23,2,122,23,21,0,180,159,165,174,1,10559
127.18535304,-1,-2,-8,-18,-7,0,-9,-6,0,-36,-148,28,-23,2,122,23,21,0,181,158,163,176,1,10560
127.204424858,-1,-2,-8,-20,2,5,-14,-3,0,-99,78,26,-23,17,102,23,21,0,182,157,169,170,1,10561
127.215322017,-1,-2,-8,-15,-6,2,-19,0,0,-105,80,93,-18,28,89,23,21,0,182,157,169,170,1,10562
127.226299047,-1,-2,-8,-15,-6,2,-19,0,0,-105,80,93,-18,28,89,23,21,0,179,160,163,176,1,10563
127.237339019,-1,-2,-8,0,-8,1,-21,1,0,-105,80,93,-18,28,89,23,21,0,170,169,162,177,1,10564
127.255295038,-1,-2,-8,0,-8,1,-21,1,0,-29,-112,104,-9,34,84,23,21,0,170,169,162,177,1,10565
127.266202926,-2,-2,-8,7,-9,10,-22,3,0,21,49,231,0,32,87,23,21,0,170,169,162,177,1,10566
127.277288913,-2,-2,-8,7,-9,10,-22,3,0,21,49,231,0,32,87,23,21,0,165,174,161,178,1,10567
127.288528919,-2,-2,-8,4,-11,2,-22,3,1,21,49,231,0,32,87,23,21,0,167,172,160,179,1,10568
127.306275844,-1,-2,-8,4,-11,2,-22,3,1,-177,-114,183,5,25,98,23,21,0,167,172,160,179,1,10569
127.31727004,-2,-2,-8,6,-2,3,-19,1,1,8,204,2,5,14,113,23,21,0,167,172,160,179,1,10570
127.328270912,-2,-2,-8,10,7,4,-15,-1,2,8,204,2,5,14,113,23,21,0,166,173,165,174,1,10571
127.339215993,-2,-2,-8,10,7,4,-15,-1,2,8,204,2,5,14,113,23,21,0,163,176,172,167,1,10572
127.358297824,-1,-2,-8,1,8,6,-10,-4,3,116,65,246,-1,2,129,23,21,0,169,170,172,167,1,10573
127.369290828,-1,-2,-8,3,15,0,-4,-6,4,41,-103,-64,-13,-6,144,23,21,0,169,170,172,167,1,10574
127.380246877,-1,-2,-8,3,15,0,-4,-6,4,41,-103,-64,-13,-6,144,23,21,0,167,172,177,162,1,10575
127.391191959,-1,-2,-8,-7,12,0,0,-7,4,41,-103,-64,-13,-6,144,23,21,0,167,172,177,162,1,10576
127.409278869,-1,-2,-8,-7,12,0,0,-7,4,-147,157,224,-26,-10,155,23,21,0,174,165,174,165,1,10577
127.42040205,-1,-3,-8,-6,4,-1,5,-6,4,-105,183,135,-36,-8,159,23,21,0,174,165,174,165,1,10578
127.431229829,-1,-3,-8,-9,6,-1,7,-3,4,-105,183,135,-36,-8,159,23,21,0,173,166,170,169,1,10579
127.442255973,-1,-3,-8,-9,6,-1,7,-3,4,-105,183,135,-36,-8,159,23,21,0,175,164,171,168,1,10580
127.461182832,-1,-3,-8,-2,-4,-4,7,0,4,21,39,200,-41,0,156,23,21,0,171,168,164,175,1,10581
127.472159862,-1,-3,-8,1,-5,0,6,5,3,-89,-25,184,-41,14,149,23,21,0,171,168,164,175,1,10582
127.483257055,-1,-3,-8,1,-5,0,6,5,3,-89,-25,184,-41,14,149,23,21,0,169,170,164,175,1,10583
127.499382972,-1,-3,-8,-11,-14,1,2,8,1,-89,-25,184,-41,14,149,23,21,0,176,163,159,180,1,10584
127.512229919,-1,-3,-8,-11,-14,1,2,8,1,97,45,84,-37,32,139,23,21,0,176,163,159,180,1,10585
127.523172855,-1,-3,-8,-7,-15,0,0,10,0,249,223,195,-34,50,132,23,21,0,176,163,159,180,1,10586
127.534512996,-1,-3,-8,-7,-15,0,0,10,0,249,223,195,-34,50,132,23,21,0,174,165,158,181,1,10587
127.545300006,-1,-3,-8,0,-11,5,-4,9,0,249,223,195,-34,50,132,23,21,0,170,169,160,179,1,10588
127.56420803,0,-3,-8,-1,-11,-1,-6,6,-1,-62,-228,101,-29,67,132,23,21,0,170,169,160,179,1,10589
127.575299978,0,-3,-8,2,-3,7,-7,1,-1,-6,18,-38,-23,77,141,23,21,0,170,169,160,179,1,10590
127.586246967,0,-3,-8,2,-3,7,-7,1,-1,-6,18,-38,-23,77,141,23,21,0,168,171,165,174,1,10591
127.597169876,0,-3,-8,5,-5,0,-7,-4,-1,-6,18,-38,-23,77,141,23,21,0,166,173,164,175,1,10592
127.616133928,0,-3,-8,5,-5,0,-7,-4,-1,-87,104,234,-13,81,158,23,21,0,166,173,164,175,1,10593
127.627306938,0,-3,-8,-6,4,0,-6,-9,0,153,118,73,0,76,180,23,21,0,166,173,164,175,1,10594
127.63826704,0,-3,-8,-6,4,0,-6,-9,0,153,118,73,0,76,180,23,21,0,173,166,170,169,1,10595
127.649497032,0,-3,-8,0,9,-2,-5,-12,0,153,118,73,0,76,180,23,21,0,173,166,170,169,1,10596
127.66722989,0,-4,-8,0,9,-2,-5,-12,0,-135,-120,95,13,65,201,23,21,0,170,169,173,166,1,10597
127.683230877,0,-4,-8,-1,20,-9,-3,-13,1,104,-187,44,25,49,216,23,21,0,170,169,173,166,1,10598
127.689491987,0,-4,-8,0,21,-12,-1,-12,2,104,-187,44,25,49,216,23,21,0,170,169,180,159,1,10599
127.700319051,0,-4,-8,0,21,-12,-1,-12,2,104,-187,44,25,49,216,23,21,0,169,170,180,159,1,10600
127.719238996,1,-4,-8,-6,6,-16,0,-8,2,29,-51,209,32,33,219,23,21,0,173,166,171,168,1,10601
127.730322837,1,-3,-8,-5,-4,-12,0,-3,1,29,106,218,34,17,213,23,21,0,173,166,171,168,1,10602
127.741168022,1,-3,-8,-5,-4,-12,0,-3,1,29,106,218,34,17,213,23,21,0,173,166,164,175,1,10603
127.752301931,1,-3,-8,4,0,-5,0,3,0,29,106,218,34,17,213,23,21,0,173,166,164,175,1,10604
127.771394014,1,-3,-8,4,0,-5,0,3,0,74,-80,179,31,1,199,23,21,0,167,172,167,172,1,10605
127.78117299,1,-3,-8,4,-17,0,0,8,-3,115,-172,99,26,-14,184,23,21,0,167,172,167,172,1,10606
127.792160987,1,-3,-8,6,-20,0,0,12,-6,115,-172,99,26,-14,184,23,21,0,167,172,156,183,1,10607
127.803247928,1,-3,-8,6,-20,0,0,12,-6,115,-172,99,26,-14,184,23,21,0,166,173,155,184,1,10608
127.822502851,1,-2,-8,3,-26,3,-1,13,-9,-100,-129,182,22,-28,172,23,21,0,168,171,151,188,1,10609
127.839355945,1,-2,-8,9,-12,9,-1,10,-10,60,146,52,21,-40,166,23,21,0,168,171,151,188,1,10610
127.844339847,1,-2,-8,9,-12,9,-1,10,-10,60,146,52,21,-40,166,23,21,0,164,175,160,179,1,10611
127.855356931,1,-2,-8,1,-9,8,-1,5,-10,60,146,52,21,-40,166,23,21,0,168,171,161,178,1,10612
127.873353004,1,-2,-8,1,-9,8,-1,5,-10,-15,98,29,22,-50,164,23,21,0,168,171,161,178,1,10613
127.884413957,0,-2,-9,0,1,11,0,-2,-8,-31,163,75,26,-57,165,23,21,0,168,171,161,178,1,10614
127.895547866,0,-2,-9,0,1,11,0,-2,-8,-31,163,75,26,-57,165,23,21,0,170,169,168,171,1,10615
127.906211853,0,-2,-9,-6,3,7,1,-9,-5,-31,163,75,26,-57,165,23,21,0,170,169,168,171,1,10616
127.924237966,0,-2,-9,-6,3,7,1,-9,-5,126,-46,20,29,-59,167,23,21,0,173,166,169,170,1,10617
127.935193061,0,-2,-9,-4,17,9,3,-15,0,-45,-75,169,31,-52,171,23,21,0,173,166,169,170,1,10618
127.946159839,0,-2,-9,-8,13,11,4,-18,3,-45,-75,169,31,-52,171,23,21,0,172,167,177,162,1,10619
127.958124876,0,-2,-9,-8,13,11,4,-18,3,-45,-75,169,31,-52,171,23,21,0,174,165,175,164,1,10620
127.976574897,0,-2,-9,-1,23,11,4,-17,7,111,143,-1,30,-36,177,23,21,0,170,169,181,158,1,10621
127.987294912,0,-2,-8,-2,13,7,3,-13,10,-91,-255,178,28,-14,187,23,21,0,170,169,181,158,1,10622
127.99849987,0,-2,-8,-2,13,7,3,-13,10,-91,-255,178,28,-14,187,23,21,0,171,168,175,164,1,10623
128.009316921,0,-2,-8,-9,0,5,1,-5,11,-91,-255,178,28,-14,187,23,21,0,175,164,167,172,1,10624
128.027304887,0,-1,-8,-9,0,5,1,-5,11,75,-170,-34,24,9,197,23,21,0,175,164,167,172,1,10625
128.038321018,0,-1,-8,-3,-5,3,-1,2,12,47,-33,242,21,26,204,23,21,0,175,164,167,172,1,10626
128.049309969,0,-1,-8,0,-12,10,-3,10,11,47,-33,242,21,26,204,23,21,0,172,167,164,175,1,10627
128.060437917,0,-1,-8,0,-12,10,-3,10,11,47,-33,242,21,26,204,23,21,0,170,169,160,179,1,10628
128.079200983,0,-1,-8,2,-4,9,-5,15,10,18,-33,231,19,33,203,23,21,0,168,171,165,174,1,10629
128.090325832,0,0,-8,2,-12,6,-6,16,9,4,-129,41,18,25,193,23,21,0,168,171,165,174,1,10630
128.101380825,0,0,-8,2,-12,6,-6,16,9,4,-129,41,18,25,193,23,21,0,168,171,160,179,1,10631
128.112303972,0,0,-8,9,-6,13,-6,14,8,4,-129,41,18,25,193,23,21,0,164,175,163,176,1,10632
128.131513834,0,0,-8,9,-6,13,-6,14,8,-4,-202,71,18,4,178,23,21,0,164,175,163,176,1,10633
128.142346859,0,0,-8,2,-12,5,-5,9,7,-72,-1,85,19,-25,162,23,21,0,164,175,163,176,1,10634
128.153337955,0,0,-8,2,-12,5,-5,9,7,-72,-1,85,19,-25,162,23,21,0,168,171,160,179,1,10635
128.164281845,0,0,-7,9,-17,7,-3,2,6,-72,-1,85,19,-25,162,23,21,0,168,171,160,179,1,10636
128.182241916,0,0,-7,9,-17,7,-3,2,6,-8,-99,78,20,-57,153,23,21,0,164,175,157,182,1,10637
128.193261861,0,0,-7,10,5,7,-1,-4,6,-79,-4,152,20,-87,154,23,21,0,164,175,157,182,1,10638
128.204213857,0,0,-7,13,7,5,1,-9,7,-79,-4,152,20,-87,154,23,21,0,163,176,171,168,1,10639
128.215226888,0,0,-7,13,7,5,1,-9,7,-79,-4,152,20,-87,154,23,21,0,161,178,171,168,1,10640
128.23428297,-1,0,-7,5,5,9,3,-13,7,-111,92,8,17,-111,162,23,21,0,166,173,170,169,1,10641
128.24525094,-1,0,-7,14,20,5,6,-14,8,16,12,153,10,-125,174,23,21,0,166,173,170,169,1,10642
128.256332874,-1,0,-7,14,20,5,6,-14,8,16,12,153,10,-125,174,23,21,0,161,178,179,160,1,10643
